brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,Potencia,Capacidade_Motor,Numero_Cilindros,Numero_Valvulas,T2,Categoria_ET,Categoria_Marca,Categoria_Modelo,Categoria_IntCol,Categoria_ExtCol,Categoria_MarcaModelo,Potencia_Capacidade_Relacao
Jeep,Wrangler Sport,2014,71000,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Black,None reported,Yes,22000,285.0,3.6,6.0,24.0,5.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência ext_col,Alta Frequência ext_col,3,79.16666666666667
Toyota,Highlander XLE,2015,68575,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,26000,270.0,3.5,6.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência ext_col,Alta Frequência ext_col,1,77.14285714285714
Toyota,Camry Hybrid XLE,2018,69641,Hybrid,208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,White,Black,At least 1 accident or damage reported,Yes,23995,208.0,2.5,4.0,24.0,7.0,2,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência ext_col,Alta Frequência ext_col,0,83.2
Subaru,Outback Touring XT,2021,33500,Gasoline,260.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Blue,Brown,None reported,Yes,34000,260.0,2.4,4.0,24.0,7.0,2,Média Frequência Marca,Baixa Frequência Modelo,Alta Frequência ext_col,Alta Frequência ext_col,0,108.33333333333334
Lexus,GX 460 Base,2018,75000,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,38095,301.0,4.6,8.0,24.0,6.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência ext_col,Alta Frequência ext_col,12,65.43478260869566
Nissan,Murano SL,2007,120000,Gasoline,240.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,6750,240.0,3.5,6.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência ext_col,Alta Frequência ext_col,1,68.57142857142857
Lexus,LC 500 Base,2022,2071,Gasoline,5.0L V8 32V PDI DOHC,Automatic,Nightfall Mica,Caramel,None reported,No,99950,311.0,5.0,8.0,32.0,7.0,1,Alta Frequência Marca,Alta Frequência Modelo,Baixa Frequência ext_col,Baixa Frequência ext_col,11,62.2
MINI,Cooper Base,2003,103726,Gasoline,115.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Gray,At least 1 accident or damage reported,Yes,5995,115.0,1.6,4.0,24.0,5.0,2,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência ext_col,Alta Frequência ext_col,4,71.875
Ford,E350 Super Duty Base,2006,158000,Gasoline,305.0HP 6.8L 10 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,8500,305.0,6.8,10.0,24.0,7.0,1,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência ext_col,Alta Frequência ext_col,2,44.85294117647059
Mazda,Mazda6 i Touring,2016,119500,Gasoline,184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,15000,184.0,2.5,4.0,24.0,7.0,2,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência ext_col,Alta Frequência ext_col,0,73.6
